COUNTY,Year,Housing_Units,Population,Units_Per_Capita,Pop_Growth
Asotin,2016,10078,22003,0.4580284506658183,0.5208095390378729
Asotin,2017,10107,22047,0.45842971832902435,0.19997273099122848
Asotin,2018,10117,22112,0.45753437047756873,0.2948246927019549
Asotin,2019,10160,22182,0.45802903254891353,0.31657018813314036
Asotin,2020,10034,22285,0.45025802109041957,0.4643404562257686
Asotin,2021,10157,22500,0.4514222222222222,0.9647745120035899
Asotin,2022,10214,22600,0.45194690265486726,0.4444444444444444
Asotin,2023,10258,22650,0.45289183222958057,0.22123893805309736
Asotin,2024,10300,22725,0.45324532453245325,0.33112582781456956
Asotin,2025,10328,22750,0.45397802197802195,0.11001100110011
Benton,1990,44877,112560,0.39869402985074626,
Benton,1991,45555,114439,0.3980723354800374,1.6693319118692251
Benton,1992,46305,116503,0.3974575761997545,1.8035809470547628
Benton,1993,47375,119374,0.3968619632415769,2.4643142236680604
Benton,1994,48925,123457,0.39629182630389526,3.4203427882118387
Benton,1995,50796,128359,0.395733840244938,3.970613249957475
Benton,1996,52395,132590,0.39516554792970815,3.2962238721086954
Benton,1997,53513,135620,0.394580445362041,2.2852402141941326
Benton,1998,54258,137717,0.39398186135335506,1.5462321191564665
Benton,1999,54876,139498,0.39338198397109636,1.2932317724028262
Benton,2000,55963,142475,0.39279171784523603,2.134080775351618
Benton,2001,56952,145267,0.39205050011358394,1.9596420424635903
Benton,2002,58167,148290,0.3922516690269067,2.0809956838098125
Benton,2003,59748,151933,0.393252288837843,2.456672735855418
Benton,2004,61195,155874,0.39259273515788395,2.5939065245864956
Benton,2005,62740,159286,0.39388270155569227,2.1889474832236293
Benton,2006,64063,162255,0.39482912699146405,1.8639428449455695
Benton,2007,64931,165096,0.3932923874594175,1.7509475825090135
Benton,2008,65892,167598,0.39315504958293057,1.5154819014391627
Benton,2009,66602,171402,0.3885718953104398,2.2697168223964486
Benton,2010,68618,175177,0.391706673821335,2.2024247091632536
Benton,2011,69739,177675,0.392508794146616,1.4259862881542669
Benton,2012,70883,180115,0.39354301418538157,1.3732939355564937
Benton,2013,71956,183504,0.3921222425669195,1.8815756599950033
Benton,2014,73182,186954,0.3914438845919317,1.8800680094166886
Benton,2015,74437,189520,0.39276593499366824,1.372530141104229
Benton,2016,75245,191531,0.39286068573755684,1.0611017306880541
Benton,2017,76112,194724,0.39087118177523056,1.66709305543228
Benton,2018,77512,198731,0.39003477061958125,2.05778435118424
Benton,2019,78759,202822,0.38831586317066197,2.058561573181839
Benton,2020,80076,206873,0.3870780623861016,1.9973178452041693
Benton,2021,81386,209400,0.3886628462273161,1.2215223832979656
Benton,2022,83014,212300,0.3910221384832784,1.384909264565425
Benton,2023,84114,215500,0.3903201856148492,1.507300989166274
Benton,2024,85497,217850,0.3924581133807666,1.0904872389791183
Benton,2025,86633,219625,0.39445873648264085,0.8147808124856554
Chelan,1990,25048,52250,0.4793875598086124,
Chelan,1991,25487,53436,0.47696309604012277,2.2698564593301436
Chelan,1992,26087,54965,0.47461111616483215,2.861366868777603
Chelan,1993,26647,56423,0.4722719458376903,2.652597107250068
Chelan,1994,27411,58319,0.47001834736535264,3.3603317795934284
Chelan,1995,28102,60079,0.467750794786864,3.017884394451208
Chelan,1996,28503,61240,0.4654310907903331,1.9324556001265
Chelan,1997,29133,62895,0.4632005723825423,2.7024820378837364
Chelan,1998,29592,64199,0.4609417592174333,2.0732967644486844
Chelan,1999,30080,65575,0.45871139916126574,2.1433355659745477
Chelan,2000,30407,66616,0.45645190344661946,1.5874952344643538
Chelan,2001,30664,66896,0.45838316192298495,0.4203194427765101
Chelan,2002,30981,67400,0.4596587537091988,0.7534082755321694
Chelan,2003,31370,67507,0.4646925504021805,0.15875370919881307
Chelan,2004,31747,68013,0.46677841000985104,0.7495518983216556
Chelan,2005,32410,68963,0.4699621536186071,1.3967917898048903
Chelan,2006,33033,69895,0.47260891337005506,1.3514493279004682
Chelan,2007,33682,70773,0.4759159566501349,1.2561699692395738
Chelan,2008,34236,71799,0.47683115363723727,1.449705396125641
Chelan,2009,34562,72185,0.47879753411373555,0.537611944456051
Chelan,2010,35465,72453,0.48948973817509284,0.3712682690309621
Chelan,2011,35679,72833,0.489874095533618,0.5244779374215008
Chelan,2012,35845,73166,0.48991334772981987,0.45721033048206167
Chelan,2013,36044,73391,0.4911228897276233,0.3075198862859798
Chelan,2014,36626,74405,0.49225186479403266,1.3816408006431307
Chelan,2015,36926,74873,0.4931817878273877,0.6289899872320408
Chelan,2016,37289,75500,0.4938940397350993,0.8374180278605104
Chelan,2017,37703,76338,0.49389556970316223,1.1099337748344371
Chelan,2018,38303,77465,0.49445556057574386,1.4763289580549661
